Week,18-49V,18-49U,50-64V,50-64U,65-79V,65-79U,80+V,80+U
14,60.31949186,558.4706198,24.80559491,250.8756291,13.08491179,219.4598038,17.98828034,152.6171374
15,57.89607957,568.3752351,24.14027573,258.5623766,12.98327975,240.5443829,19.36053315,152.0969281
16,52.75187628,469.2462334,20.18614571,220.5942488,11.84604515,216.4431073,16.85997403,142.0591426
17,45.42394732,431.6551784,16.40065646,191.792141,11.02191837,193.2570638,17.60315542,126.7321449
18,32.91864928,357.4360634,12.17192342,166.7663871,9.018212825,171.9286428,15.03057678,113.3784609
19,23.34388284,305.3799612,9.314983813,148.9955032,8.224478462,160.7171681,12.86168759,119.8918148
20,17.87909713,234.8294689,7.80951059,113.1520508,7.061994518,126.7727992,11.43014183,85.67315554
21,13.72752399,176.2174239,6.096236794,88.04087717,5.639173613,104.3805927,10.11783976,66.39447955
22,11.18252989,143.5027119,5.403912049,72.91897628,5.107399955,84.14921013,8.494213166,55.54939909
23,11.1206431,128.4299808,5.451443671,64.07890404,4.887559485,77.19704493,8.361931218,47.71465353
24,11.44906711,132.5260043,5.467606661,65.48951098,5.352491453,77.58378958,8.686910421,54.21771328
25,14.80771681,141.0976658,6.461290632,67.35344789,6.559866159,78.92235117,9.297050706,48.31202156
26,22.19478016,194.388552,9.125397945,87.22154476,8.520545027,100.8877621,11.76495779,66.28841982
27,36.48104066,293.7518624,14.73551639,109.0777785,13.43782308,143.9578607,16.82981587,83.1846138
28,66.42950237,487.5664056,26.88479225,210.0609401,24.02991439,227.6374933,29.8190967,132.0009365
29,113.2442166,779.180261,48.23412393,343.3970577,44.07683823,366.9814907,51.63773205,203.1019756
30,180.4946039,1147.124352,72.62417941,504.1066022,68.6552315,549.5886906,80.38525395,300.6721443
31,225.3509276,1393.138609,96.10678942,647.913221,89.9121076,713.4655326,104.1028057,383.344797
32,245.2576554,1547.941749,107.4176056,749.5003022,102.8089378,845.4858917,120.4932214,451.1500109
33,262.7750551,1600.537979,117.3731422,783.6730964,111.302832,911.7060867,129.071145,472.560879
34,284.7247437,1648.052327,121.6469765,797.4866895,113.1747599,941.22378,129.5453771,468.5865139
35,272.3647852,1512.738529,114.7396954,722.9648749,109.4327424,880.6385228,120.7998631,426.1883596
36,260.182126,1371.007309,111.4649265,673.3550847,105.2334034,803.8433941,120.0093951,410.6521685
37,237.3996274,1198.815188,105.0899829,599.7990665,103.8739418,739.260068,116.222091,360.9456626
38,198.2758906,969.7466032,92.85545003,486.0722062,91.23759948,621.8382653,104.9400971,305.4908969
39,187.6729827,836.3213408,91.16178976,434.5624414,90.11161176,589.0397413,100.7545348,275.6398005
