week,65plus,18to49,50to64
1,70.1,9.6,28.7
2,60.8,9,25.8
3,52.5,7.7,22.3
4,43.3,6.6,18.6
5,37.6,5.8,15.7
6,26.2,5.1,12.3
7,23.5,4.4,11.2
8,20,4.3,10.7
9,16.1,4,9.8
10,16.3,4.1,10.6
11,16.1,4.7,12.4
12,18.8,5.3,14.5
13,17.8,6.8,14.9
14,19.7,8.2,18
15,20.3,7.9,18.4
16,18.6,7.4,15.3
17,15.7,6.8,13.6
18,14.3,5.9,12.2
19,10.6,5,9.1
20,10.2,4.2,7
21,7.1,3.4,5.5
22,5.6,2.4,4.5
23,4.3,2.3,3.3
24,3.8,1.9,2.6
25,3.5,1.6,2.6
26,2.9,1.6,2.5
27,4.1,2.4,3.3
28,6.1,2.8,4.1
29,7.7,4,6.5
30,12.8,5.7,9.8
31,16.7,7.8,12.4
32,21.4,8.7,15.9
33,25.1,9.3,17.3
34,28,9.6,18.3
35,27.7,9.7,18.2
36,26.4,8.2,17.6
37,24.9,7,15
38,23.6,6.6,14.2
39,23.7,6,12.9
40,25,6.6,12.4
41,21.9,4.9,11.7
42,19.4,4.5,10.6
43,15.7,3.8,7.9
